Estacion,Afluencia_Total_2025_26,Espera_Promedio_Minutos,Indice_Congestion,Indice_Calidad_Servicio,Nivel_Servicio,Latitud,Longitud
POTRERO,4584191,3.00,13.75,0.23,Bueno,19.48,-99.13
PUEBLA,9341442,3.00,28.02,0.38,Regular,19.41,-99.08
ROMERO RUBIO,5104462,3.00,15.31,0.24,Bueno,19.44,-99.09
SALTO DEL AGUA,8703713,4.00,34.81,0.48,Regular,19.43,-99.14
SAN ANTONIO,4019242,4.00,16.08,0.28,Bueno,19.38,-99.19
SAN ANTONIO ABAD,5967015,3.00,17.90,0.27,Bueno,19.42,-99.13
SAN COSME,6748974,3.00,20.25,0.30,Bueno,19.44,-99.16
SAN PEDRO DE LOS PINOS,3790276,4.00,15.16,0.27,Bueno,19.39,-99.19
SANTA ANITA,2139166,4.00,8.56,0.20,Bueno,19.40,-99.12
SANTA MARTA,12893127,4.00,51.57,0.66,Crítico,19.36,-99.00
SEVILLA,4625612,4.00,18.50,0.30,Regular,19.42,-99.17
TACUBA,13371476,3.50,46.80,0.59,Regular,19.46,-99.19
TACUBAYA,24629971,3.67,90.31,0.70,Crítico,19.40,-99.19
TEPALCATES,8479506,4.00,33.92,0.47,Regular,19.39,-99.05
TEPITO,6862870,3.00,20.59,0.30,Bueno,19.44,-99.12
TEZONCO,7483245,2.50,18.71,0.27,Bueno,19.31,-99.07
TLALTENCO,1693684,2.50,4.23,0.11,Bueno,19.29,-99.02
TLATELOLCO,5319164,3.00,15.96,0.25,Bueno,19.46,-99.14
UAM-I,7689817,4.00,30.76,0.43,Regular,19.35,-99.07
UNIVERSIDAD,18872050,3.00,56.62,0.68,Crítico,19.32,-99.17
VALLEJO,2411268,4.00,9.65,0.21,Bueno,19.49,-99.16
VIADUCTO,5462208,3.00,16.39,0.25,Bueno,19.40,-99.14
XOLA,6363584,3.00,19.09,0.28,Bueno,19.40,-99.14
ZAPATA,10219655,2.75,28.10,0.37,Regular,19.37,-99.17
ZARAGOZA,8434364,4.00,33.74,0.47,Regular,19.41,-99.08
